n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node1,70b3d5499aa0da7c,1,45.80471,15.95843,0.4919,0.7095,0.3308,-85,7.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80474,15.95843,0.6486,1.0466,0.4763,-85,7.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80479,15.95844,0.2460,1.1643,0.4609,-84,8.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80482,15.95843,0.4139,0.9430,0.3066,-78,8.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80484,15.9584,0.5979,0.7263,0.4054,-77,7.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80486,15.95838,0.6382,0.7134,0.2483,-78,7.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80486,15.95835,0.5714,0.7943,-0.0292,-80,8.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80488,15.95832,0.3962,0.9282,0.1201,-83,7.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.8049,15.9583,0.1704,1.0526,-0.1200,-71,7.0,5,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80526,15.95815,0.6312,0.7524,0.3069,-80,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80526,15.9582,0.6559,0.7106,0.3086,-78,8.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80526,15.9582,0.6151,0.7007,0.2729,-82,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80526,15.9582,0.6102,0.7729,0.3916,-79,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80528,15.95819,0.9031,0.5078,0.2855,-82,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80525,15.95812,0.3511,0.7234,0.2955,-93,6.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80522,15.95809,0.4138,0.6844,0.2352,-84,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80518,15.95808,0.6198,0.7079,0.2734,-90,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80518,15.95807,0.4755,0.6515,0.2190,-88,7.0,4,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80512,15.95791,0.4044,0.5186,-0.0842,-87,6.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.8045,15.95766,1.0544,0.9159,0.5261,-85,5.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80451,15.95763,0.5364,0.3170,-0.2078,-81,6.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80452,15.95761,0.7363,0.8517,-0.2371,-74,6.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80454,15.95757,0.9346,1.0405,0.3589,-73,7.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80458,15.95754,0.4526,0.6707,-0.1750,-69,7.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80462,15.9575,0.8311,0.5822,-0.1757,-62,8.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80471,15.9574,0.4490,0.7067,-0.1173,-64,8.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80571,15.95769,0.5535,0.5070,-0.0734,-60,7.0,11,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80575,15.9577,0.7776,0.9912,-0.2101,-57,8.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80573,15.95759,0.4882,0.9094,-0.0751,-53,6.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80571,15.95755,0.6022,0.7462,-0.0569,-51,6.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80569,15.95739,0.1927,1.0166,-0.0314,-47,5.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80564,15.95738,0.2014,0.9941,-0.0272,-49,7.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80549,15.95728,0.1893,1.0034,-0.0192,-68,6.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80541,15.95724,0.1257,1.0127,0.0107,-54,6.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80534,15.9572,0.1512,1.0444,0.0308,-53,7.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80528,15.95717,0.0690,0.9740,-0.0728,-54,7.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80523,15.95714,0.0658,1.0151,-0.0052,-57,8.0,13,0,12,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80529,15.9575,0.6195,0.7056,0.0204,-50,7.0,5,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80532,15.95753,0.7378,0.6460,0.1907,-52,6.0,5,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80535,15.95758,0.7021,0.3850,0.3058,-58,7.0,5,0,12,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80536,15.9576,0.8284,0.7155,0.2245,-51,9.0,5,0,12,"1
",45.805630,15.957969
